cid,z_hd,z_hd_err,mu,mu_err_diag,is_calibrator
2021hpr,0.01044,0.00084,33.0869,0.343916,1
2002dp,0.01061,0.00084,33.3806,0.309009,1
2002dp,0.01061,0.00084,33.2931,0.27457,1
1997do,0.01073,0.00084,33.1081,0.364668,0
1997bq,0.01079,0.00084,33.0683,0.324016,1
2008fv_comb,0.01079,0.00084,33.1809,0.377969,1
ASASSN-16jf,0.01096,0.00084,33.5709,0.314858,0
iPTF13ebh,0.01114,0.00085,33.7337,0.342487,0
iPTF13ebh,0.01114,0.00085,33.6369,0.29522,0
2010ko,0.01122,0.00084,33.8347,0.353909,0
2013ex,0.01122,0.00084,33.4336,0.283424,0
2013ex,0.01122,0.00084,33.4947,0.325172,0
2009ab,0.01155,0.00085,33.5833,0.281169,0
2011ao,0.01195,0.00084,33.4974,0.301502,0
2001cz,0.01213,0.00086,33.8783,0.346381,0
2009kk,0.0122,0.00086,33.7023,0.266666,0
2010Y,0.01233,0.00084,33.7403,0.254135,0
2008R,0.01246,0.00086,33.8286,0.265115,0
2002ha,0.01258,0.00085,33.708,0.24076,0
2002ha,0.01258,0.00085,33.7246,0.250097,0
2009kq,0.01259,0.00086,33.5874,0.26006,0
2009kq,0.01259,0.00086,33.5178,0.26619,0
2001bt,0.01279,0.00086,33.7492,0.416658,0
2001ep,0.01283,0.00086,33.6365,0.287379,0
2001ep,0.01283,0.00086,33.5028,0.331124,0
2013gy,0.01303,0.00085,33.7355,0.239783,0
2013gy,0.01303,0.00085,33.7607,0.28722,0
AT2017cfd,0.01304,0.00086,33.5752,0.292564,0
2017cfd,0.01304,0.00086,33.5673,0.284786,0
1999dq,0.01312,0.00085,33.52,0.273536,1
1999dq,0.01312,0.00085,33.4717,0.261601,1
2007hj,0.01325,0.00085,33.9682,0.303693,0
2007hj,0.01325,0.00085,33.9846,0.299399,0
2007hj,0.01325,0.00085,33.9247,0.304606,0
2008hv,0.01375,0.00085,33.797,0.277855,0
2008hv,0.01375,0.00085,33.7683,0.232778,0
2008hv,0.01375,0.00085,33.772,0.235755,0
1997E,0.01376,0.00085,33.7649,0.288791,0
2007cv,0.01386,0.00086,33.6741,0.345367,0
1992al,0.01388,0.00085,33.6968,0.233531,0
1999dk,0.01389,0.00085,33.8053,0.288803,0
1999dk,0.01389,0.00085,33.6651,0.296207,0
ASASSN-16dn,0.01411,0.00085,33.8206,0.250873,0
ASASSN-16la,0.01424,0.00085,33.8444,0.265489,0
2005kc,0.01442,0.00085,34.0187,0.307194,0
2005kc,0.01442,0.00085,34.0249,0.352338,0
2007ca,0.01442,0.00085,34.3366,0.370715,0
2007ca,0.01442,0.00085,34.1781,0.396908,0
2007ca,0.01442,0.00085,34.252,0.397235,0
2006N,0.01446,0.00085,33.9078,0.240515,0
2006td,0.0145,0.00085,34.1727,0.365029,0
2013gq,0.01453,0.00085,33.7526,0.2163,0
2004eo,0.0146,0.00085,33.8826,0.249316,0
2003gt,0.01462,0.00085,33.9253,0.243928,0
2005bo,0.01463,0.00085,33.7553,0.390506,0
2005bo,0.01463,0.00085,33.7189,0.39282,0
2001fe,0.01467,0.00085,33.8916,0.240694,0
2013fa,0.01472,0.00085,33.7894,0.397352,0
2000dm,0.01484,0.00085,34.0109,0.270222,0
PSNJ2043531,0.01492,0.00085,34.1902,0.372674,0
2011df,0.01493,0.00085,33.8524,0.277558,0
2005el,0.01499,0.00086,33.974,0.229564,0
2005el,0.01499,0.00086,33.9261,0.231708,0
2001cn,0.01515,0.00086,33.8877,0.294985,0
2005de,0.01519,0.00085,34.1793,0.26677,0
SN2017jl,0.01525,0.00096,33.7706,0.30219,0
ASASSN-16ad,0.01529,0.00085,34.0334,0.344305,0
ATLAS16cxr,0.01542,0.00131,34.3426,0.372888,0
iPTF16auf,0.01543,0.00085,34.0744,0.314862,0
2008bc,0.01546,0.00086,34.0331,0.226465,0
2011im,0.01549,0.00085,34.2732,0.34036,0
1999ej,0.0155,0.00085,34.2581,0.272528,0
1999ej,0.0155,0.00085,34.2112,0.258071,0
2001en,0.0155,0.00085,33.9994,0.28632,0
2001en,0.0155,0.00085,33.8852,0.313932,0
2001V,0.01557,0.00124,33.7902,0.290577,0
2001V,0.01557,0.00124,33.8072,0.290395,0
2008ec,0.01562,0.00085,34.1732,0.264363,0
2008ec,0.01562,0.00085,34.1302,0.33431,0
2008eo,0.01565,0.00092,34.3317,0.278713,0
2009nq,0.01576,0.00085,34.1657,0.28688,0
2005al,0.01578,0.00085,33.9986,0.219937,0
2013hn,0.01578,0.00085,34.0697,0.290382,0
2001bf,0.01581,0.00086,33.9926,0.239289,0
2001bf,0.01581,0.00086,33.9004,0.218994,0
ASASSN-15oh,0.01587,0.00085,34.3916,0.270341,0
1994S,0.01588,0.00085,34.0287,0.224824,0
1999aa,0.0159,0.00085,34.1663,0.242893,0
1999aa,0.0159,0.00085,34.1323,0.209471,0
2002cs,0.0159,0.00085,34.0329,0.272511,0
iPTF14bdn,0.01603,0.00085,34.1062,0.281582,0
2007ss,0.01652,0.00085,34.4137,0.34637,0
2010kg,0.01652,0.00085,33.9999,0.334729,0
2013fw,0.01656,0.00085,34.1608,0.218117,0
2013Q,0.01657,0.00085,33.9726,0.41528,0
iPTF13dge,0.01662,0.00085,34.2793,0.261916,0
2007fs,0.01666,0.00086,34.3408,0.198023,0
SN2016gfr,0.01671,0.00086,33.8985,0.245383,0
ASASSN-16ip,0.01678,0.00085,34.1679,0.246475,0
2007A,0.01682,0.00085,34.4649,0.358327,1
2007A,0.01682,0.00085,34.5341,0.341619,1
PSNJ0107203,0.01682,0.00085,33.9673,0.284408,0
1998ef,0.0169,0.00085,33.841,0.289311,0
1998ef,0.0169,0.00085,33.8975,0.264562,0
ASASSN-15ti,0.01692,0.00085,34.4894,0.310314,0
ASASSN-15od,0.01698,0.00085,34.3409,0.228387,0
1996bv,0.01699,0.00085,34.0755,0.297815,0
1997Y,0.01705,0.00085,34.1973,0.214463,0
2001da,0.01718,0.00085,34.022,0.308995,0
2001da,0.01718,0.00085,34.2003,0.325329,0
ASASSN-15kx,0.0172,0.00085,34.6084,0.219814,0
2000dk,0.0173,0.00085,34.1436,0.28269,0
2000dk,0.0173,0.00085,34.1517,0.257136,0
2007fb,0.01733,0.00085,34.4009,0.221698,0
2007fb,0.01733,0.00085,34.5101,0.231239,0
2006ef,0.01734,0.00085,34.361,0.220285,0
2008C,0.01737,0.00085,34.31,0.263557,0
2008C,0.01737,0.00085,34.2669,0.262425,0
2004fz,0.01743,0.00085,33.7799,0.330633,0
2006ax,0.01747,0.00086,34.3228,0.200241,0
2006ax,0.01747,0.00086,34.3133,0.19782,0
1998V,0.01752,0.00085,34.1465,0.231417,0
2013gs,0.01776,0.00085,34.2221,0.320412,0
2008L,0.01778,0.00085,34.3364,0.210115,0
2008L,0.01778,0.00085,34.2464,0.213428,0
2009le,0.01784,0.00085,34.2939,0.246602,0
2009le,0.01784,0.00085,34.2418,0.22287,0
2000dr,0.0179,0.00086,34.2975,0.318912,0
2007as,0.01802,0.00097,34.2661,0.234211,0
1992bo,0.01808,0.00086,34.6078,0.20147,0
2010ai,0.01826,0.00085,34.9792,0.21848,0
ASASSN-17co,0.01826,0.00086,34.2005,0.280568,0
PS15coh,0.01839,0.00085,34.4393,0.226901,0
2009gf,0.01855,0.00085,34.492,0.255362,0
2009gf,0.01855,0.00085,34.576,0.296243,0
2016ffh,0.01865,0.00085,34.6171,0.238984,0
ATLAS16cpu,0.01865,0.00085,34.5716,0.239989,0
2000cu,0.01866,0.00086,34.6066,0.277471,0
2011fs,0.01875,0.00085,34.5466,0.215514,0
2011fs,0.01875,0.00085,34.4866,0.321023,0
ASASSN-16cs,0.01905,0.00085,34.4286,0.281407,0
2006kf,0.01947,0.00085,34.7747,0.195403,0
2006kf,0.01947,0.00085,34.8085,0.195531,0
2008hs,0.01975,0.00085,34.757,0.466611,0
2008hs,0.01975,0.00085,34.7394,0.433516,0
2007au,0.01976,0.00085,34.6865,0.406241,0
2016W,0.01995,0.00085,34.3648,0.295725,0
2002kf,0.02001,0.00085,34.6854,0.204275,0
1992bc,0.02006,0.00086,34.5121,0.199486,0
2009ds,0.02019,0.00086,34.5072,0.233893,0
2009ds,0.02019,0.00086,34.702,0.19246,0
2006ej,0.02023,0.00085,34.5995,0.188309,0
2006ej,0.02023,0.00085,34.5012,0.295566,0
2006ej,0.02023,0.00085,34.576,0.189903,0
2006ej,0.02023,0.00085,34.6482,0.187832,0
2002jy,0.02024,0.00085,34.9988,0.187715,0
2016hpw,0.02034,0.00087,34.8165,0.241825,0
ATLAS16dqf,0.02034,0.00087,34.5749,0.375822,0
2005ki,0.02035,0.00085,34.5709,0.187708,0
2005ki,0.02035,0.00085,34.5656,0.177716,0
2005ki,0.02035,0.00085,34.4931,0.19075,0
ASASSN-15lg,0.02044,0.00085,34.6552,0.214591,0
2001dl,0.02049,0.00085,35.1263,0.375783,0
PSNJ1602512,0.02052,0.00086,34.556,0.333904,0
2007st,0.02056,0.00085,34.4168,0.217156,0
ASASSN-17bs,0.02056,0.00085,34.5647,0.249505,0
2010A,0.02081,0.00085,34.4863,0.330445,0
2003W,0.02082,0.00085,34.674,0.230899,0
2003W,0.02082,0.00085,34.6349,0.254511,0
2001br,0.0209,0.00087,34.8118,0.300223,0
ASASSN-16lc,0.02096,0.00086,34.6956,0.216494,0
AT2016eoa,0.02106,0.00085,34.6693,0.230687,0
ASASSN-16lg,0.02116,0.00086,34.375,0.203089,0
2004bw,0.02116,0.00087,34.8194,0.196425,0
2008Z,0.02118,0.00085,35.118,0.310686,0
2008Z,0.02118,0.00085,35.2056,0.304103,0
2007bc,0.02131,0.00085,34.7561,0.180584,0
